ANGGARAN TAHUN 2025;;;;;;;;;;;;;;
PT. PERSIJA JAKARTA HEBAT;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BIAYA;;;;;;;;;;;;;;
5-01. BOARDING SCHOOL;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
5-0402-01;Seragam; 27.500.000 ; 12.500.000 ;;;; 5.000.000 ;; 5.000.000 ;; 5.000.000 ;;;
Operasional Latihan;;;;;;;;;;;;;;
5-0403-01;Sewa Lapangan; 254.000.000 ; 22.000.000 ; 22.000.000 ; 12.000.000 ; 22.000.000 ; 22.000.000 ; 22.000.000 ; 22.000.000 ; 22.000.000 ; 22.000.000 ; 22.000.000 ; 22.000.000 ; 22.000.000 
5-0403-02;Operasional Latihan Harian; 37.680.000 ; 1.140.000 ; 5.640.000 ; 1.140.000 ; 4.640.000 ; 1.640.000 ; 1.640.000 ; 4.640.000 ; 1.640.000 ; 4.640.000 ; 1.640.000 ; 4.640.000 ; 4.640.000 
5-0403-03;Perlengkapan Latihan; 33.575.000 ; 4.400.000 ; 7.200.000 ; 5.000.000 ; 5.575.000 ; 200.000 ; 200.000 ; 10.000.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 
5-0403-04;Medis;;;;;;;;;;;;;
Operasional Lainnya;;;;;;;;;;;;;;
5-0404-01;Hotline; - ;;;;;;;;;;;;
5-0404-02;Promosi / Komisi; 50.000.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 3.500.000 ; 3.500.000 
;;;;;;;;;;;;;;
TOTAL BIAYA;; 710.755.000 ; 67.540.000 ; 66.340.000 ; 45.640.000 ; 61.715.000 ; 60.340.000 ; 53.340.000 ; 73.140.000 ; 53.340.000 ; 63.340.000 ; 53.340.000 ; 56.340.000 ; 56.340.000 
;;;;;;;;;;;;;;
5-05. SS - BEKASI;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
5-0501-01;Gaji Pelatih dan Staff; 118.800.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 
Fasilitas;;;;;;;;;;;;;;
5-0502-01;Seragam; 17.500.000 ; 7.500.000 ;;;; 5.000.000 ;; 5.000.000 ;;;;;
Operasional Latihan;;;;;;;;;;;;;;
5-0503-01;Sewa Lapangan; 162.000.000 ; 13.500.000 ; 13.500.000 ; 13.500.000 ; 13.500.000 ; 13.500.000 ; 13.500.000 ; 13.500.000 ; 13.500.000 ; 13.500.000 ; 13.500.000 ; 13.500.000 ; 13.500.000 
5-0503-02;Operasional Latihan Harian; 35.680.000 ; 640.000 ; 4.140.000 ; 1.140.000 ; 4.640.000 ; 1.640.000 ; 1.640.000 ; 4.640.000 ; 1.640.000 ; 4.640.000 ; 1.640.000 ; 4.640.000 ; 4.640.000 
